compte_general,compte_tiers,Intitule du Compte Tiers
40110000,ADSFRS,ADS FOURNISSEUR
40110000,ALLIANZ,ALLIANZ ASSURANCE
40110000,ALPHAETOMEGA,ALPHA & OMEGA
40110000,ATI,AFRICAN TRADING INTERNATIONAL
40110000,AXAASSURANCES,AXA ASSURANCE
40110000,BAEAUBAB,BAEAUBAB
40110000,BERNABE,BERNABE
40110000,BISS,BISS MULTIMEDIA
40110000,BITEYECISSE,BITEYE CISSE
40110000,BUILDINGENG,BUILDING ENGINEERING
40110000,BULDINGENGINEERIN,BUILDIG ENGINEERING
40110000,CFAOMOTORS,CFAO MOTORS
40110000,CITYAPPARTEMENTS,CITY APPARTEMENTS
40110000,CRIT,CRIT
40110000,DAOUD,DAOUD BUREAU
40110000,DHL,DHL
40110000,DIGITALELECTRONICS,DIGITAL ELECTRONICS
40110000,DIVERS,FOURNISSEUR DIVERS
40110000,EGB,EGB
40110000,GENIBATEC,GENIBATEC SUARL
40110000,GEORGEREZK,GEORGE KAMEL REZK 
40110000,GIERAFFET,GIE RAFFET LIGUEY
40110000,GLOBAL,GLOBAL PRESTIGE
40110000,GRASSAVOYE,GRAS SAVOYE
40110000,INDEPENDANCEIMMO,INDEPENDANCE IMMOBILIERE
40110000,INOVIT,INNOVIT
40110000,KANDJI,KANDJI ET FRERES
40110000,KPMG,KPMG
40110000,KYSGROUP,KYS GROUP COMMUNICATION
40110000,LAAYDIAARACOUTURE,LAAIYE DIAARA COUTURE
40110000,MAITREPATRICIADIO,MAITRE PATRICIA LAKE DIOP
40110000,MANDARINE,MANDARINE
40110000,MARIEMELY,MARIEME LY
40110000,MASTEROFFICE,MASTER OFFICE
40110000,MATFORCE,MATFORCE
40110000,MAZARS,MAZARS SENEGAL
40110000,MBOUPVOYAGES,MBOUP VOYAGES
40110000,MCI,MATERIEL CONSOMMABLES INFORMATIQUES
40110000,MKCTECHNOLOGIES,MKC TECHNOLOGY
40110000,MMSTORE,Multi Média STORE
40110000,MOBICOM,MOBICOM
40110000,MOBICOM2,MOBICOM FSEURS D'IN
40110000,NATIONALLOCATION,NATIONAL LOCATION DE VOITURES
40110000,NEDGE,NEDGE
40110000,NEUROTECH,NEUROTECH
40110000,NGORDIARAMA,HOTEL NGOR DIARAMA
40110000,NICKEL,NICKEL
40110000,NITRADINI,NITRADINI
40110000,NUMELITE,NUMELITE
40110000,ORANGE,ORANGE
40110000,ORCA2,ORCA FSEUR D'INV
40110000,OUMOUINFO,OUMOU INFORMATIQUE
40110000,PAPEX,PAPEX
40110000,PRESTILUX,PRESTILUX
40110000,PULLMAN,PULLMAN
40110000,REGUS,REGUS
40110000,ROCHETTE,LA ROCHETTE
40110000,SAGAM,SAGAM SECURITE
40110000,SCIBASSE,SCI BASSE ET CIE
40110000,SDE,SDE
40110000,LLC, LLC
40110000,SENEGALAIR,SENEGALAIR VOYAGES
40110000,SENEGALTOURS,SENEGAL TOURS 
40110000,SENELEC,SENELEC
40110000,SENSERVICESINFORM,SEN SERVICES INFORMATIQUES
40110000,SITA,SITA
40110000,TERROUBI,TERROU BI
40110000,TEYLIUM,TEYLIUM PROPERTIES
40110000,TIGO,TIGO
40110000,TOTAL,TOTAL
41110000,CLIENT,CLIENT  LLC
47310000,ADS,AEROPORT DU SENEGAL
47310000,AIRALGERIE,AIR ALGERIE
47310000,AIRBURKINA,AIR BURKINA
47310000,AIRFRANCE,AIR FRANCE
47310000,AIRMAURITANIE,AIR MAURITANIE
47310000,AIRMED,AIR MEDITERRANEE
47310000,AIRNIGERIA,AIR NIGERIA
47310000,ASKYAIRL,ASKY AIRLINES
47310000,BRUSSELS,BRUSSELS AIRLINES
47310000,CORSAIRFLY,CORSAIR FLY
47310000,DETLAAIRLINES,DELTA AIRLINES
47310000,EMIRATES,EMIRATES AIRLINES
47310000,ETHIOPANAIRLINES,ETHIOPIAN AIRLINES
47310000,IBERIA,IBERIA LAE
47310000,KENYAAIRWAYS,KENYA AIRWAYS LDT
47310000,RAM,ROYAL AIR MAROC
47310000,SENEGALAIRLINES,SENEGAL AIRLINES
47310000,SOUTHAFRICAN,SOUTH AFRICAN AIRWAYS
47310000,TAP,TAP
47310000,TCV,TCV
47310000,TUNISAIR,TUNIS AIR
47310000,TURKISHAIRLINES,TURKISH AIRLINES
48100000,USA, FSEURS D'INV
40110000,AHS,AHS

